State,GDP,id,GDP_nospace,GDP_int,GDP_int_scale
Distrito Federal,2 312 562,1,2312562,2312562,6.364093385042174
México,1 230 628,3,1230628,1230628,6.090126792197771
Nuevo León,1 041 797,27,1041797,1041797,6.017783102486848
Veracruz,676 899,26,676899,676899,5.830523872503519
Guanajuato,591 414,19,676899,676899,5.830523872503519
Campeche,570 172,31,591414,591414,5.771891600965854
Coahuila,464 771,28,570172,570172,5.756005886168687
Sonora,401 342,7,464771,464771,5.667239021850231
Puebla,435 028,24,401342,401342,5.603514610553149
Chihuahua,400 916,11,435028,435028,5.638517210642329
Baja California,409 317,6,400916,400916,5.603053388685173
Tabasco,433 857,17,409317,409317,5.612059782399661
Tamaulipas,423 215,29,433857,433857,5.637346608902838
Michoacán,318 401,14,423215,423215,5.626561051989753
Querétaro,314 979,21,318401,318401,5.502974423053696
Sinaloa,290 580,5,314979,314979,5.4982815998589984
San Luis Potosí,271 982,22,290580,290580,5.463265719430183
Chiapas,227 598,16,271982,271982,5.43454016300719
Hidalgo,224 237,25,227598,227598,5.357168441410291
Quintana Roo,223 435,32,224237,224237,5.350707274494644
Oaxaca,213 783,18,223435,223435,5.3491512042150315
Yucatán,203 685,30,213783,213783,5.329973167197678
Guerrero,196 744,2,203685,203685,5.308959047374765
Aguascalientes,169 885,20,196744,196744,5.293901496778882
Durango,161 902,10,169885,169885,5.230155034520514
Morelos,159 797,4,161902,161902,5.209252213692218
Zacatecas,131 983,9,159797,159797,5.203568621688388
Baja California Sur,103 406,8,131983,131983,5.120517995738774
Nayarit,92 149,13,103406,103406,5.014545738867129
Colima,81 672,12,92149,92149,4.964490626621415
Tlaxcala,75 578,23,81672,81672,4.912073190807416
Jalisco,1 041 797,15,1041797,1041797,6.017783102486848
